month,signups,first_buyers,orders,buyers,gmv_source_units,promo_order_share,repeat_order_share,new_buyer_gmv,returning_buyer_gmv,returning_gmv_share
2016-06,6,1,1,1,640795.0,0.0,0.0,640795.0,0.0,0.0
2016-07,825,268,283,268,144721400.0,0.6219081272084805,0.053003533568904596,138658524.0,6062876.0,0.04189343110279475
2016-08,720,423,521,466,285882976.0,0.4836852207293666,0.18809980806142035,229558400.0,56324576.0,0.1970196924212794
2016-09,751,435,686,585,419048100.0,0.4752186588921283,0.36588921282798836,296140103.0,122907997.0,0.2933028380274245
2016-10,881,512,948,774,521387534.0,0.4356540084388186,0.459915611814346,299235373.0,222152161.0,0.4260787734905837
2016-11,764,488,1114,902,596605601.0,0.45152603231597843,0.5619389587073609,255135828.0,341469773.0,0.5723542863621222
2016-12,782,280,1078,828,592561195.0,0.5018552875695733,0.7402597402597403,147608148.0,444953047.0,0.7508980519725056
2017-01,816,498,1459,1142,759314699.0,0.44619602467443453,0.658670322138451,235391319.0,523923380.0,0.6899950451242352
2017-02,749,471,1520,1229,804039663.0,0.44342105263157894,0.6901315789473684,253877515.0,550162148.0,0.6842475232468724
2017-03,810,516,1852,1406,1058434092.0,0.4400647948164147,0.7213822894168467,271856880.0,786577212.0,0.7431518107222873
2017-04,863,498,2029,1555,1079284088.0,0.4613109906357812,0.7545588960078856,258782853.0,820501235.0,0.7602273063438326
2017-05,710,463,2255,1692,1293996448.0,0.43991130820399116,0.7946784922394678,252917602.0,1041078846.0,0.804545366109073
2017-06,711,277,2216,1640,1214227723.0,0.4584837545126354,0.875,133256458.0,1080971265.0,0.8902541463385777
2017-07,1725,981,3174,2467,1764473236.0,0.43856332703213613,0.6909262759924386,541500516.0,1222972720.0,0.6931092492921214
2017-08,960,590,3097,2329,1700079960.0,0.44591540200193736,0.809493057797869,323225623.0,1376854337.0,0.8098762231159998
2017-09,1022,592,3331,2527,1867494475.0,0.45001501050735515,0.8222755929150405,341302863.0,1526191612.0,0.8172402287830062
2017-10,1039,655,3821,2842,2077834910.0,0.4559015964407223,0.8285789060455379,342276694.0,1735558216.0,0.8352724307630388
2017-11,931,543,3845,2869,2129101099.0,0.447594278283485,0.858777633289987,293060236.0,1836040863.0,0.8623549458794394
2017-12,1104,386,4088,2985,2221451933.0,0.4574363992172211,0.9055772994129159,190697657.0,2030754276.0,0.9141562983348153
2018-01,994,552,4327,3226,2281536520.0,0.438641090825052,0.8724289345967183,266612515.0,2014924005.0,0.8831434374760743
