category,units,merchandise_value,line_items,share
Topwear,614287,153577017667,416018,0.34654708346349067
Shoes,293389,73415395289,198754,0.16566209909016283
Bags,122527,30589195627,82527,0.06902462810559463
Bottomwear,106891,26712957612,73054,0.06027788331711837
Watches,101296,25322557178,68357,0.05714043982089265
Innerwear,72244,18021467531,49137,0.04066550521342755
Jewellery,43168,10814544549,29096,0.02440305801853868
Eyewear,42697,10660562997,28953,0.02405559810192221
Fragrance,40434,10084902629,27355,0.02275661844580934
Sandal,38108,9565720119,25765,0.021585081275997408
Wallets,36897,9311073071,25209,0.02101046931167125
Flip Flops,36249,9078687664,24811,0.020486090818985947
Belts,32463,8122224857,21950,0.01832782911262924
Socks,27654,6895867311,18895,0.015560548973284119
Lips,21037,5259965992,14243,0.011869131861885528
Dress,19073,4776287194,12968,0.01077770894375418
Loungewear and Nightwear,18859,4703395654,12769,0.010613228925976166
Saree,17098,4262662994,11673,0.009618714120113224
Nails,13176,3285692455,8912,0.007414176643976558
Makeup,12492,3098167317,8408,0.006991025506930141
Headwear,11845,2988521572,7850,0.006743609495594896
Ties,10160,2552625374,6825,0.0057600081833382435
Accessories,5620,1420934956,3846,0.0032063447530986454
Scarves,4564,1153157817,3209,0.0026021046919987505
Apparel Set,4181,1044250607,2836,0.0023563551875027035
Free Gifts,4164,1021475042,2821,0.0023049620445384543
Cufflinks,4150,1013878760,2818,0.002287821007342549
Stoles,3592,881428490,2479,0.001988946504700643
Skin Care,3043,767764462,2070,0.001732463223565952
Skin,2838,712740803,1843,0.0016083021424510336
Eyes,1714,428013013,1179,0.0009658128774266655
Mufflers,1448,358917026,1028,0.000809897538415453
Shoe Accessories,926,230717380,639,0.0005206145838611253
Gloves,842,198507382,550,0.0004479326094691758
Hair,700,181978500,475,0.000410635128784714
Sports Equipment,761,181274152,543,0.0004090457650319121
Bath and Body,449,122765353,303,0.0002770204531824137
Umbrellas,282,77833671,171,0.00017563195385648334
Water Bottle,327,76127318,190,0.00017178156227776837
Perfumes,255,61454332,169,0.00013867191748035383
Wristbands,183,47812886,103,0.00010788994634079766
Beauty Accessories,162,43770531,104,9.876835798822561e-05
Sports Accessories,106,25870009,85,5.8375766793201996e-05
Vouchers,38,8514235,30,1.9212401386583135e-05
Home Furnishing,20,4818442,15,1.0872831412566181e-05
